Exajoules,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,1.94,2.13,2.40,2.57,2.52,2.57,2.60,2.73,2.63,2.77,2.56,2.48,2.60,2.45,2.68,2.90,2.72,2.95,3.40,3.62,3.72,3.92,4.32,4.75,5.15,5.50,5.54,5.75,5.96,6.14,6.35,6.46,6.51,6.34,6.36,6.45,6.46,6.29,5.99,5.58,5.39,5.44,5.41,5.47,5.72,5.79,6.18,6.32,6.45,6.23,-3.3%,0.7%,4.3%
Mexico,0.40,0.39,0.41,0.44,0.47,0.47,0.46,0.49,0.62,0.75,0.90,0.97,1.04,1.05,1.03,1.00,0.89,0.90,0.91,0.88,0.95,0.96,0.93,1.00,1.05,1.05,1.11,1.12,1.19,1.23,1.20,1.19,1.21,1.25,1.33,1.60,1.74,1.69,1.70,1.89,1.84,1.88,1.83,1.89,1.85,1.73,1.57,1.38,1.27,1.22,-3.4%,-2.9%,0.9%
US,20.57,21.16,21.09,21.07,20.14,18.65,18.50,18.58,18.50,19.06,18.90,18.71,17.39,15.76,17.10,16.12,15.71,16.27,16.71,16.95,17.40,17.31,17.45,17.65,18.37,18.12,18.37,18.42,18.62,18.36,18.67,19.15,18.40,18.64,18.11,17.62,18.06,18.79,19.66,20.07,20.71,22.22,23.37,23.60,25.37,26.65,26.18,26.86,30.09,33.15,10.2%,4.3%,23.1%
Total North America,22.91,23.67,23.90,24.08,23.12,21.69,21.56,21.80,21.75,22.59,22.37,22.16,21.03,19.25,20.81,20.02,19.31,20.12,21.03,21.44,22.08,22.19,22.70,23.40,24.57,24.67,25.02,25.29,25.77,25.74,26.22,26.80,26.12,26.23,25.81,25.66,26.26,26.76,27.35,27.55,27.93,29.54,30.61,30.96,32.94,34.16,33.94,34.56,37.80,40.61,7.4%,3.3%,28.3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.21,0.23,0.22,0.24,0.25,0.27,0.26,0.27,0.27,0.25,0.29,0.31,0.34,0.46,0.47,0.49,0.54,0.53,0.63,0.66,0.62,0.70,0.70,0.75,0.78,0.88,1.01,0.96,1.04,1.21,1.31,1.30,1.26,1.44,1.57,1.60,1.61,1.57,1.54,1.45,1.40,1.36,1.32,1.24,1.24,1.28,1.34,1.34,1.42,1.50,5.6%,-0.8%,1.0%
Bolivia,^,^,0.04,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.09,0.10,0.10,0.10,0.09,0.09,0.09,0.10,0.10,0.11,0.11,0.11,0.10,0.10,0.11,0.11,0.11,0.09,0.10,0.08,0.11,0.16,0.21,0.24,0.34,0.42,0.45,0.48,0.50,0.43,0.49,0.54,0.62,0.70,0.73,0.70,0.68,0.66,0.61,0.54,-12.2%,2.1%,0.4%
Brazil,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.05,0.06,0.07,0.09,0.11,0.12,0.12,0.12,0.11,0.12,0.13,0.16,0.17,0.19,0.21,0.22,0.23,0.28,0.28,0.28,0.34,0.37,0.41,0.40,0.41,0.42,0.52,0.44,0.54,0.62,0.71,0.79,0.84,0.86,0.87,0.98,0.91,0.93,2.6%,5.8%,0.6%
Colombia,0.04,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.08,0.09,0.10,0.11,0.12,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.16,0.20,0.23,0.20,0.21,0.21,0.22,0.21,0.22,0.23,0.24,0.26,0.31,0.36,0.39,0.38,0.41,0.48,0.44,0.42,0.43,0.44,0.46,0.47,2.6%,4.0%,0.3%
Peru,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.06,0.09,0.13,0.13,0.26,0.41,0.43,0.45,0.47,0.46,0.50,0.47,0.46,0.49,5.6%,13.8%,0.3%
Trinidad & Tobago,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.09,0.09,0.10,0.11,0.14,0.14,0.15,0.15,0.16,0.16,0.19,0.19,0.20,0.20,0.19,0.22,0.25,0.27,0.30,0.33,0.33,0.41,0.50,0.53,0.62,0.91,1.03,1.08,1.28,1.36,1.35,1.39,1.45,1.39,1.39,1.39,1.37,1.29,1.13,1.15,1.22,1.24,1.8%,-1.0%,0.9%
Venezuela,0.31,0.30,0.30,0.37,0.39,0.38,0.47,0.51,0.51,0.57,0.59,0.59,0.63,0.62,0.69,0.69,0.76,0.74,0.76,0.78,0.88,0.88,0.86,0.93,0.99,1.10,1.19,1.23,1.29,1.10,1.12,1.18,1.14,1.01,1.14,1.10,1.26,1.34,1.20,1.14,1.10,1.09,1.15,1.10,1.14,1.30,1.34,1.39,1.14,0.95,-16.3%,-0.6%,0.7%
Other S. & Cent. America,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0.05,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.07,0.09,0.09,0.10,0.08,0.11,0.10,0.11,0.10,0.10,0.12,0.13,0.14,0.13,0.12,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.11,0.11,0.10,0.09,0.10,0.11,0.11,0.12,0.13,5.2%,-1.5%,0.1%
Total S. & Cent. America,0.67,0.69,0.73,0.83,0.88,0.88,0.99,1.07,1.13,1.17,1.27,1.31,1.44,1.57,1.67,1.71,1.85,1.85,2.00,2.09,2.17,2.25,2.25,2.40,2.56,2.81,3.10,3.15,3.33,3.41,3.66,3.82,3.93,4.31,4.86,5.02,5.47,5.66,5.68,5.48,5.78,5.91,6.14,6.26,6.34,6.41,6.40,6.53,6.34,6.25,-1.5%,1.1%,4.4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.04,0.07,0.09,0.09,0.12,0.12,0.15,0.15,0.17,0.18,0.20,0.24,0.29,0.28,0.29,0.31,0.31,0.32,0.30,0.36,0.39,0.39,0.35,0.38,0.32,0.31,0.25,0.22,0.18,0.17,0.17,0.17,0.18,0.15,0.12,-25.4%,-8.5%,0.1%
Germany,0.43,0.53,0.64,0.71,0.74,0.69,0.71,0.71,0.73,0.73,0.67,0.68,0.60,0.66,0.65,0.62,0.50,0.57,0.53,0.55,0.54,0.55,0.56,0.56,0.59,0.61,0.66,0.64,0.63,0.67,0.64,0.64,0.64,0.67,0.62,0.60,0.59,0.54,0.49,0.46,0.40,0.38,0.34,0.31,0.29,0.27,0.25,0.23,0.20,0.19,-3.8%,-8.6%,0.1%
Italy,0.45,0.46,0.49,0.53,0.53,0.50,0.54,0.47,0.47,0.46,0.43,0.48,0.49,0.44,0.47,0.48,0.54,0.55,0.56,0.58,0.59,0.59,0.62,0.66,0.69,0.68,0.69,0.67,0.66,0.60,0.57,0.53,0.51,0.48,0.45,0.42,0.38,0.34,0.32,0.27,0.29,0.29,0.30,0.27,0.25,0.23,0.20,0.19,0.19,0.17,-10.9%,-5.2%,0.1%
Netherlands,1.01,1.39,1.85,2.25,2.67,2.89,3.09,3.10,2.84,2.98,2.88,2.67,2.29,2.43,2.46,2.58,2.36,2.36,2.09,2.28,2.28,2.58,2.59,2.64,2.51,2.55,2.88,2.55,2.44,2.27,2.21,2.33,2.29,2.19,2.58,2.35,2.32,2.23,2.55,2.36,2.71,2.50,2.46,2.61,2.17,1.65,1.59,1.39,1.16,1.01,-13.0%,-7.6%,0.7%
Norway,-,-,-,-,-,-,-,0.09,0.51,0.74,0.90,0.89,0.86,0.84,0.93,0.94,0.93,1.01,1.01,1.03,0.91,0.89,0.92,0.89,0.96,0.99,1.34,1.53,1.58,1.73,1.78,1.93,2.34,2.61,2.83,3.07,3.17,3.23,3.58,3.73,3.83,3.62,4.10,3.89,3.89,4.18,4.17,4.44,4.37,4.12,-5.7%,2.0%,2.9%
Poland,0.18,0.19,0.20,0.20,0.20,0.20,0.22,0.23,0.25,0.22,0.19,0.17,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.15,0.10,0.11,0.11,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.1%,-0.7%,0.1%
Romania,0.78,0.84,0.86,0.91,0.93,1.02,1.11,1.17,1.18,1.13,1.17,1.23,1.24,1.23,1.22,1.17,1.18,1.12,1.10,0.99,0.96,0.84,0.74,0.70,0.62,0.60,0.58,0.50,0.47,0.47,0.46,0.45,0.44,0.44,0.43,0.41,0.40,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.37,0.37,0.33,0.36,0.36,0.35,-2.8%,-0.5%,0.2%
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.46,1.35,1.21,1.10,1.05,0.96,0.83,0.72,0.65,0.62,0.58,0.58,0.59,0.57,0.58,0.57,0.58,0.64,0.66,0.70,0.71,0.72,0.72,0.73,0.73,0.70,0.70,0.70,0.73,0.73,0.68,0.68,0.70,0.71,0.71,-0.5%,-0.3%,0.5%
United Kingdom,0.39,0.66,0.95,1.03,1.24,1.29,1.36,1.43,1.37,1.38,1.31,1.31,1.33,1.37,1.34,1.50,1.57,1.65,1.58,1.55,1.71,1.91,1.94,2.28,2.44,2.67,3.17,3.23,3.40,3.73,4.08,3.99,3.91,3.88,3.63,3.32,3.01,2.72,2.62,2.20,2.08,1.66,1.41,1.33,1.35,1.46,1.50,1.51,1.46,1.43,-2.2%,-5.7%,1.0%
Other Europe,0.53,0.55,0.58,0.62,0.64,0.63,0.65,0.70,0.74,0.72,0.69,0.66,0.68,0.67,0.68,0.69,0.63,0.64,0.62,0.63,0.59,0.59,0.58,0.59,0.55,0.57,0.53,0.48,0.44,0.42,0.40,0.39,0.39,0.37,0.39,0.37,0.39,0.36,0.34,0.33,0.34,0.33,0.30,0.26,0.23,0.22,0.31,0.32,0.30,0.27,-12.9%,-1.1%,0.2%
Total Europe,3.78,4.61,5.56,6.25,6.94,7.22,7.68,7.91,8.09,8.36,8.23,8.09,7.64,7.81,7.93,9.64,9.30,9.36,8.84,8.91,8.76,9.05,8.92,9.28,9.29,9.59,10.80,10.64,10.60,10.89,11.16,11.30,11.62,11.74,12.15,11.79,11.53,11.03,11.54,10.93,11.17,10.25,10.35,10.08,9.60,9.39,9.36,9.46,9.04,8.49,-6.1%,-2.4%,5.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.49,0.48,0.44,0.42,0.39,0.35,0.30,0.28,0.24,0.22,0.23,0.21,0.20,0.18,0.20,0.19,0.18,0.17,0.17,0.16,0.20,0.24,0.38,0.57,0.57,0.59,0.57,0.61,0.63,0.66,0.68,0.66,0.64,0.69,0.88,27.7%,1.8%,0.6%
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.17,0.18,0.19,0.22,0.21,0.22,0.22,0.21,0.19,0.12,0.15,0.13,0.21,0.18,0.24,0.31,0.31,0.33,0.40,0.47,0.53,0.55,0.57,0.66,0.68,0.74,0.72,0.71,0.77,0.78,0.79,0.83,0.84,0.86,0.84,-2.2%,2.7%,0.6%
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15.30,16.65,18.02,19.53,20.39,21.59,21.29,21.32,20.47,20.11,19.48,19.88,18.85,19.49,19.60,19.33,19.25,19.71,20.54,20.97,21.22,21.77,21.66,22.01,19.30,21.54,22.21,21.67,22.12,21.28,21.04,21.21,22.88,24.09,24.45,1.5%,0.9%,17.0%
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.83,2.89,3.00,3.01,3.06,2.85,2.74,1.81,2.12,1.16,1.05,1.14,0.56,0.43,0.74,1.53,1.67,1.74,1.92,1.90,2.05,2.04,2.22,2.22,1.20,1.44,2.03,2.12,2.12,2.29,2.37,2.28,2.11,2.21,2.27,2.7%,?,1.6%
USSR,6.75,7.24,7.55,8.06,8.89,9.86,10.94,11.80,12.69,13.87,14.84,15.87,17.07,18.27,20.03,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.18,1.32,1.36,1.36,1.40,1.33,1.36,1.38,1.46,1.53,1.56,1.59,1.63,1.78,1.81,1.83,1.85,1.90,1.91,1.94,1.97,2.04,2.12,2.20,2.10,2.06,2.04,2.03,2.01,2.03,1.93,1.91,1.92,2.06,2.03,-1.6%,-0.7%,1.4%
Other CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0%,0.2%,?
Total CIS,6.75,7.24,7.55,8.06,8.89,9.86,10.94,11.80,12.69,13.87,14.84,15.87,17.07,18.27,20.03,20.00,21.54,23.04,24.56,25.47,26.35,25.94,25.02,24.50,23.16,22.49,22.97,21.46,22.08,22.60,23.20,23.28,23.86,24.96,25.45,25.97,26.64,26.96,27.67,23.87,26.38,27.58,27.16,27.67,27.05,26.82,26.90,28.41,29.92,30.47,1.9%,0.8%,21.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
